Facets,Facets_Clean,Category,Score_Min,Score_Max,Description
Risktaking,Risktaking,Risk,1,5,Measures the degree of 'Risktaking' expressed in the conversation
Naivety,Naivety,General,1,5,Measures the degree of 'Naivety' expressed in the conversation
Acidity,Acidity,General,1,5,Measures the degree of 'Acidity' expressed in the conversation
Democratic Leadership:,Democratic Leadership:,Leadership,1,5,Measures the degree of 'Democratic Leadership:' expressed in the conversation
Common-sense,Common-sense,Cognitive,1,5,Measures the degree of 'Common-sense' expressed in the conversation
Hesitation,Hesitation,General,1,5,Measures the degree of 'Hesitation' expressed in the conversation
Discontentment,Discontentment,General,1,5,Measures the degree of 'Discontentment' expressed in the conversation
Overprotectiveness,Overprotectiveness,General,1,5,Measures the degree of 'Overprotectiveness' expressed in the conversation
Merriness,Merriness,General,1,5,Measures the degree of 'Merriness' expressed in the conversation
Emotionalism,Emotionalism,Emotional,1,5,Measures the degree of 'Emotionalism' expressed in the conversation
Self-improvement,Self-improvement,General,1,5,Measures the degree of 'Self-improvement' expressed in the conversation
Statistical Reasoning,Statistical Reasoning,Cognitive,1,5,Measures the degree of 'Statistical Reasoning' expressed in the conversation
Assertiveness and control in relationships,Assertiveness and control in relationships,Leadership,1,5,Measures the degree of 'Assertiveness and control in relationships' expressed in the conversation
Cunningness,Cunningness,General,1,5,Measures the degree of 'Cunningness' expressed in the conversation
Adventure-Seeking Behavior,Adventure-Seeking Behavior,Risk,1,5,Measures the degree of 'Adventure-Seeking Behavior' expressed in the conversation
Compassion Fatigue,Compassion Fatigue,Social,1,5,Measures the degree of 'Compassion Fatigue' expressed in the conversation
Moroseness,Moroseness,General,1,5,Measures the degree of 'Moroseness' expressed in the conversation
Specialist,Specialist,General,1,5,Measures the degree of 'Specialist' expressed in the conversation
Aloofness,Aloofness,General,1,5,Measures the degree of 'Aloofness' expressed in the conversation
Genuine,Genuine,General,1,5,Measures the degree of 'Genuine' expressed in the conversation
Determinedness,Determinedness,General,1,5,Measures the degree of 'Determinedness' expressed in the conversation
HonestyHumility:,HonestyHumility:,Moral,1,5,Measures the degree of 'HonestyHumility:' expressed in the conversation
Relationship Building Themes:,Relationship Building Themes:,Social,1,5,Measures the degree of 'Relationship Building Themes:' expressed in the conversation
Pure Challenge,Pure Challenge,General,1,5,Measures the degree of 'Pure Challenge' expressed in the conversation
Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents:,Cognitive,1,5,Measures the degree of 'Numerical Reasoning Subcomponents:' expressed in the conversation
Openness,Openness,General,1,5,Measures the degree of 'Openness' expressed in the conversation
SelfEsteem,SelfEsteem,General,1,5,Measures the degree of 'SelfEsteem' expressed in the conversation
Comparing alphanumeric data,Comparing alphanumeric data,General,1,5,Measures the degree of 'Comparing alphanumeric data' expressed in the conversation
Big-heartedness,Big-heartedness,General,1,5,Measures the degree of 'Big-heartedness' expressed in the conversation
Compulsive activities,Compulsive activities,General,1,5,Measures the degree of 'Compulsive activities' expressed in the conversation
Disrespect,Disrespect,General,1,5,Measures the degree of 'Disrespect' expressed in the conversation
FSH level,FSH level,General,1,5,Measures the degree of 'FSH level' expressed in the conversation
Self Perspective,Self Perspective,General,1,5,Measures the degree of 'Self Perspective' expressed in the conversation
Desperation,Desperation,General,1,5,Measures the degree of 'Desperation' expressed in the conversation
Affiliation Motivation:,Affiliation Motivation:,General,1,5,Measures the degree of 'Affiliation Motivation:' expressed in the conversation
Anatomy knowledge,Anatomy knowledge,General,1,5,Measures the degree of 'Anatomy knowledge' expressed in the conversation
Passive-Aggressive,Passive-Aggressive,General,1,5,Measures the degree of 'Passive-Aggressive' expressed in the conversation
Presence of Spiritual Pain,Presence of Spiritual Pain,Spiritual,1,5,Measures the degree of 'Presence of Spiritual Pain' expressed in the conversation
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,Spiritual,1,5,Measures the degree of 'Role of Spirituality in Community Involvement' expressed in the conversation
Structure,Structure,General,1,5,Measures the degree of 'Structure' expressed in the conversation
Eco-tourism trips,Eco-tourism trips,General,1,5,Measures the degree of 'Eco-tourism trips' expressed in the conversation
Chivalrousness,Chivalrousness,General,1,5,Measures the degree of 'Chivalrousness' expressed in the conversation
Pilgrimage participation count,Pilgrimage participation count,General,1,5,Measures the degree of 'Pilgrimage participation count' expressed in the conversation
Mindfulness facet: Observing,Mindfulness facet: Observing,General,1,5,Measures the degree of 'Mindfulness facet: Observing' expressed in the conversation
Submissiveness,Submissiveness,General,1,5,Measures the degree of 'Submissiveness' expressed in the conversation
Training-cycle length,Training-cycle length,General,1,5,Measures the degree of 'Training-cycle length' expressed in the conversation
Sensitiveness,Sensitiveness,General,1,5,Measures the degree of 'Sensitiveness' expressed in the conversation
Negative Affect Frequency,Negative Affect Frequency,General,1,5,Measures the degree of 'Negative Affect Frequency' expressed in the conversation
Innovation and Creativity Components:,Innovation and Creativity Components:,General,1,5,Measures the degree of 'Innovation and Creativity Components:' expressed in the conversation
Achievement Motivation:,Achievement Motivation:,General,1,5,Measures the degree of 'Achievement Motivation:' expressed in the conversation
Feedback-giving frequency,Feedback-giving frequency,General,1,5,Measures the degree of 'Feedback-giving frequency' expressed in the conversation
Dance-cardio sessions,Dance-cardio sessions,General,1,5,Measures the degree of 'Dance-cardio sessions' expressed in the conversation
Enthusiasm,Enthusiasm,General,1,5,Measures the degree of 'Enthusiasm' expressed in the conversation
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,Cognitive,1,5,Measures the degree of 'Psychological construct: Social Desirability tendency' expressed in the conversation
Inattentiveness,Inattentiveness,General,1,5,Measures the degree of 'Inattentiveness' expressed in the conversation
Unassertiveness,Unassertiveness,Leadership,1,5,Measures the degree of 'Unassertiveness' expressed in the conversation
Decision-making decisiveness,Decision-making decisiveness,General,1,5,Measures the degree of 'Decision-making decisiveness' expressed in the conversation
Sense-of-coherence score,Sense-of-coherence score,General,1,5,Measures the degree of 'Sense-of-coherence score' expressed in the conversation
Justice-mindedness,Justice-mindedness,General,1,5,Measures the degree of 'Justice-mindedness' expressed in the conversation
Subscription count,Subscription count,General,1,5,Measures the degree of 'Subscription count' expressed in the conversation
Depression Symptoms,Depression Symptoms,General,1,5,Measures the degree of 'Depression Symptoms' expressed in the conversation
Spatial perception,Spatial perception,General,1,5,Measures the degree of 'Spatial perception' expressed in the conversation
Brevity,Brevity,General,1,5,Measures the degree of 'Brevity' expressed in the conversation
Orderliness,Orderliness,General,1,5,Measures the degree of 'Orderliness' expressed in the conversation
Multiculturalism,Multiculturalism,General,1,5,Measures the degree of 'Multiculturalism' expressed in the conversation
Creative risk-taking tendency,Creative risk-taking tendency,Risk,1,5,Measures the degree of 'Creative risk-taking tendency' expressed in the conversation
Inefficiency,Inefficiency,General,1,5,Measures the degree of 'Inefficiency' expressed in the conversation
Network basics,Network basics,General,1,5,Measures the degree of 'Network basics' expressed in the conversation
Alphabetical filing skills,Alphabetical filing skills,General,1,5,Measures the degree of 'Alphabetical filing skills' expressed in the conversation
Work Styles,Work Styles,General,1,5,Measures the degree of 'Work Styles' expressed in the conversation
Character strength: Perseverance,Character strength: Perseverance,General,1,5,Measures the degree of 'Character strength: Perseverance' expressed in the conversation
Competition,Competition,General,1,5,Measures the degree of 'Competition' expressed in the conversation
Logical Sequence Identification,Logical Sequence Identification,Cognitive,1,5,Measures the degree of 'Logical Sequence Identification' expressed in the conversation
Sustainable-transport usage,Sustainable-transport usage,General,1,5,Measures the degree of 'Sustainable-transport usage' expressed in the conversation
Hardworking,Hardworking,General,1,5,Measures the degree of 'Hardworking' expressed in the conversation
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,Emotional,1,5,Measures the degree of 'Emotional-intelligence measure: Impulsiveness' expressed in the conversation
Dishonesty,Dishonesty,Moral,1,5,Measures the degree of 'Dishonesty' expressed in the conversation
Preferred epistemology,Preferred epistemology,General,1,5,Measures the degree of 'Preferred epistemology' expressed in the conversation
Memory for Sounds,Memory for Sounds,General,1,5,Measures the degree of 'Memory for Sounds' expressed in the conversation
Sportsmanship rating,Sportsmanship rating,General,1,5,Measures the degree of 'Sportsmanship rating' expressed in the conversation
Immaturity,Immaturity,General,1,5,Measures the degree of 'Immaturity' expressed in the conversation
Health-literacy level,Health-literacy level,Lifestyle,1,5,Measures the degree of 'Health-literacy level' expressed in the conversation
Estimating Calculations,Estimating Calculations,General,1,5,Measures the degree of 'Estimating Calculations' expressed in the conversation
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,General,1,5,Measures the degree of 'Depression: Feelings of sadness and hopelessness' expressed in the conversation
Synthesis of information,Synthesis of information,General,1,5,Measures the degree of 'Synthesis of information' expressed in the conversation
Leadership Potential:,Leadership Potential:,Leadership,1,5,Measures the degree of 'Leadership Potential:' expressed in the conversation
Ethical standards,Ethical standards,Moral,1,5,Measures the degree of 'Ethical standards' expressed in the conversation
High-spiritedness,High-spiritedness,General,1,5,Measures the degree of 'High-spiritedness' expressed in the conversation
Critical reasoning,Critical reasoning,Cognitive,1,5,Measures the degree of 'Critical reasoning' expressed in the conversation
Sleep-disorder diagnosis,Sleep-disorder diagnosis,Lifestyle,1,5,Measures the degree of 'Sleep-disorder diagnosis' expressed in the conversation
Listening Skills Subcomponents:,Listening Skills Subcomponents:,General,1,5,Measures the degree of 'Listening Skills Subcomponents:' expressed in the conversation
Collaboration,Collaboration,General,1,5,Measures the degree of 'Collaboration' expressed in the conversation
Precision of Movements,Precision of Movements,General,1,5,Measures the degree of 'Precision of Movements' expressed in the conversation
Social Boldness,Social Boldness,Social,1,5,Measures the degree of 'Social Boldness' expressed in the conversation
Auditory memory,Auditory memory,General,1,5,Measures the degree of 'Auditory memory' expressed in the conversation
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents:,General,1,5,Measures the degree of 'Psychomotor Ability Subcomponents:' expressed in the conversation
Organized lifestyle,Organized lifestyle,General,1,5,Measures the degree of 'Organized lifestyle' expressed in the conversation
Skill-endorsements count,Skill-endorsements count,General,1,5,Measures the degree of 'Skill-endorsements count' expressed in the conversation
Mysteriousness,Mysteriousness,General,1,5,Measures the degree of 'Mysteriousness' expressed in the conversation
Cultural Identity,Cultural Identity,General,1,5,Measures the degree of 'Cultural Identity' expressed in the conversation
Intrinsic Motivation,Intrinsic Motivation,General,1,5,Measures the degree of 'Intrinsic Motivation' expressed in the conversation
Impartial-mindedness,Impartial-mindedness,General,1,5,Measures the degree of 'Impartial-mindedness' expressed in the conversation
Burnout Symptoms,Burnout Symptoms,General,1,5,Measures the degree of 'Burnout Symptoms' expressed in the conversation
Holiness,Holiness,General,1,5,Measures the degree of 'Holiness' expressed in the conversation
Selfcontrol,Selfcontrol,General,1,5,Measures the degree of 'Selfcontrol' expressed in the conversation
SelfDirectedness,SelfDirectedness,General,1,5,Measures the degree of 'SelfDirectedness' expressed in the conversation
Encouraging participation,Encouraging participation,General,1,5,Measures the degree of 'Encouraging participation' expressed in the conversation
Impracticalness,Impracticalness,General,1,5,Measures the degree of 'Impracticalness' expressed in the conversation
Meeting Deadlines,Meeting Deadlines,General,1,5,Measures the degree of 'Meeting Deadlines' expressed in the conversation
Data Analysis,Data Analysis,General,1,5,Measures the degree of 'Data Analysis' expressed in the conversation
Social Interaction Skills,Social Interaction Skills,Social,1,5,Measures the degree of 'Social Interaction Skills' expressed in the conversation
Psychoticism,Psychoticism,General,1,5,Measures the degree of 'Psychoticism' expressed in the conversation
Ethical leadership rating,Ethical leadership rating,Leadership,1,5,Measures the degree of 'Ethical leadership rating' expressed in the conversation
Slothfulness,Slothfulness,General,1,5,Measures the degree of 'Slothfulness' expressed in the conversation
Happiness,Happiness,General,1,5,Measures the degree of 'Happiness' expressed in the conversation
Contentment Levels,Contentment Levels,General,1,5,Measures the degree of 'Contentment Levels' expressed in the conversation
Neuroticism,Neuroticism,General,1,5,Measures the degree of 'Neuroticism' expressed in the conversation
Desire for excellence,Desire for excellence,General,1,5,Measures the degree of 'Desire for excellence' expressed in the conversation
Perceiving,Perceiving,General,1,5,Measures the degree of 'Perceiving' expressed in the conversation
Liberalism,Liberalism,General,1,5,Measures the degree of 'Liberalism' expressed in the conversation
Inversion comfort level,Inversion comfort level,General,1,5,Measures the degree of 'Inversion comfort level' expressed in the conversation
Affection,Affection,General,1,5,Measures the degree of 'Affection' expressed in the conversation
Numeric Filing Skills,Numeric Filing Skills,General,1,5,Measures the degree of 'Numeric Filing Skills' expressed in the conversation
Martyrdom,Martyrdom,General,1,5,Measures the degree of 'Martyrdom' expressed in the conversation
Parathyroid-hormone level,Parathyroid-hormone level,General,1,5,Measures the degree of 'Parathyroid-hormone level' expressed in the conversation
Seeking approval,Seeking approval,General,1,5,Measures the degree of 'Seeking approval' expressed in the conversation
Judging (J):,Judging (J):,General,1,5,Measures the degree of 'Judging (J):' expressed in the conversation
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,General,1,5,Measures the degree of 'Big Five facet Openness – Artistic Interests' expressed in the conversation
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,Cognitive,1,5,Measures the degree of 'Psychological construct: Operant-Learning rate' expressed in the conversation
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,Cognitive,1,5,Measures the degree of 'Psychological construct: Need for Achievement level' expressed in the conversation
Cantankerousness,Cantankerousness,General,1,5,Measures the degree of 'Cantankerousness' expressed in the conversation
Material properties knowledge,Material properties knowledge,General,1,5,Measures the degree of 'Material properties knowledge' expressed in the conversation
Hostility,Hostility,General,1,5,Measures the degree of 'Hostility' expressed in the conversation
Independence,Independence,General,1,5,Measures the degree of 'Independence' expressed in the conversation
800. Sufi practice: Sufi retreat attendance count,Sufi practice: Sufi retreat attendance count,Spiritual,1,5,Measures the degree of 'Sufi practice: Sufi retreat attendance count' expressed in the conversation
Chromatin-accessibility score,Chromatin-accessibility score,General,1,5,Measures the degree of 'Chromatin-accessibility score' expressed in the conversation
644. Spiritual virtue: Humility practice index,Spiritual virtue: Humility practice index,Spiritual,1,5,Measures the degree of 'Spiritual virtue: Humility practice index' expressed in the conversation
754. I Ching hexagram 36 resonance level,I Ching hexagram 36 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 36 resonance level' expressed in the conversation
Well-being component: Engagement,Well-being component: Engagement,General,1,5,Measures the degree of 'Well-being component: Engagement' expressed in the conversation
Need for social interaction,Need for social interaction,Social,1,5,Measures the degree of 'Need for social interaction' expressed in the conversation
Peer-collaboration hours,Peer-collaboration hours,General,1,5,Measures the degree of 'Peer-collaboration hours' expressed in the conversation
Arts and Humanities,Arts and Humanities,General,1,5,Measures the degree of 'Arts and Humanities' expressed in the conversation
596. Religious practice: Quran khatam cycles per year,Religious practice: Quran khatam cycles per year,Spiritual,1,5,Measures the degree of 'Religious practice: Quran khatam cycles per year' expressed in the conversation
926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í spiritual metric: Ridván festival participation,Spiritual,1,5,Measures the degree of 'Bahá’í spiritual metric: Ridván festival participation' expressed in the conversation
Compassion,Compassion,Social,1,5,Measures the degree of 'Compassion' expressed in the conversation
Information Retention,Information Retention,General,1,5,Measures the degree of 'Information Retention' expressed in the conversation
Eye-contact duration,Eye-contact duration,General,1,5,Measures the degree of 'Eye-contact duration' expressed in the conversation
Self-righteousness,Self-righteousness,General,1,5,Measures the degree of 'Self-righteousness' expressed in the conversation
General Mood and Attitude,General Mood and Attitude,General,1,5,Measures the degree of 'General Mood and Attitude' expressed in the conversation
Serotonin transporter availability,Serotonin transporter availability,General,1,5,Measures the degree of 'Serotonin transporter availability' expressed in the conversation
Contribution to Group Goals,Contribution to Group Goals,General,1,5,Measures the degree of 'Contribution to Group Goals' expressed in the conversation
Dignity,Dignity,General,1,5,Measures the degree of 'Dignity' expressed in the conversation
HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets:,General,1,5,Measures the degree of 'HEXACO Personality Inventory Facets:' expressed in the conversation
Evaluating Solutions,Evaluating Solutions,General,1,5,Measures the degree of 'Evaluating Solutions' expressed in the conversation
Input,Input,General,1,5,Measures the degree of 'Input' expressed in the conversation
Discreteness,Discreteness,General,1,5,Measures the degree of 'Discreteness' expressed in the conversation
607. Energy-healing practice: Reiki sessions / year,Energy-healing practice: Reiki sessions / year,General,1,5,Measures the degree of 'Energy-healing practice: Reiki sessions / year' expressed in the conversation
692. Astrology: Rising sign is Scorpio,Astrology: Rising sign is Scorpio,General,1,5,Measures the degree of 'Astrology: Rising sign is Scorpio' expressed in the conversation
Character strength: Social Intelligence,Character strength: Social Intelligence,Social,1,5,Measures the degree of 'Character strength: Social Intelligence' expressed in the conversation
Bravery,Bravery,General,1,5,Measures the degree of 'Bravery' expressed in the conversation
Childhood Experiences,Childhood Experiences,General,1,5,Measures the degree of 'Childhood Experiences' expressed in the conversation
Data-sharing consent level,Data-sharing consent level,General,1,5,Measures the degree of 'Data-sharing consent level' expressed in the conversation
Vision-check frequency,Vision-check frequency,General,1,5,Measures the degree of 'Vision-check frequency' expressed in the conversation
Physical-violence exposure,Physical-violence exposure,General,1,5,Measures the degree of 'Physical-violence exposure' expressed in the conversation
Macronutrient ratio: fat,Macronutrient ratio: fat,General,1,5,Measures the degree of 'Macronutrient ratio: fat' expressed in the conversation
Cooking and Culinary Arts,Cooking and Culinary Arts,General,1,5,Measures the degree of 'Cooking and Culinary Arts' expressed in the conversation
Language use,Language use,General,1,5,Measures the degree of 'Language use' expressed in the conversation
Dance-style mastery diversity,Dance-style mastery diversity,General,1,5,Measures the degree of 'Dance-style mastery diversity' expressed in the conversation
Satya Adherence,Satya Adherence,General,1,5,Measures the degree of 'Satya Adherence' expressed in the conversation
Ethnocentrism,Ethnocentrism,General,1,5,Measures the degree of 'Ethnocentrism' expressed in the conversation
Emotional Boundaries,Emotional Boundaries,Emotional,1,5,Measures the degree of 'Emotional Boundaries' expressed in the conversation
Creativity in solutions,Creativity in solutions,General,1,5,Measures the degree of 'Creativity in solutions' expressed in the conversation
Psychological construct: Hope scale,Psychological construct: Hope scale,Cognitive,1,5,Measures the degree of 'Psychological construct: Hope scale' expressed in the conversation
565. Practice frequency: Walking meditation,Practice frequency: Walking meditation,Spiritual,1,5,Measures the degree of 'Practice frequency: Walking meditation' expressed in the conversation
Depression (DEP),Depression (DEP),General,1,5,Measures the degree of 'Depression (DEP)' expressed in the conversation
Understanding Mathematical Concepts,Understanding Mathematical Concepts,General,1,5,Measures the degree of 'Understanding Mathematical Concepts' expressed in the conversation
Hypomania (Ma),Hypomania (Ma),General,1,5,Measures the degree of 'Hypomania (Ma)' expressed in the conversation
Goal-Directed Behavior,Goal-Directed Behavior,General,1,5,Measures the degree of 'Goal-Directed Behavior' expressed in the conversation
Depth of Emotional Connections,Depth of Emotional Connections,Emotional,1,5,Measures the degree of 'Depth of Emotional Connections' expressed in the conversation
Binding foundations index,Binding foundations index,General,1,5,Measures the degree of 'Binding foundations index' expressed in the conversation
Ego Dissolution Frequency,Ego Dissolution Frequency,General,1,5,Measures the degree of 'Ego Dissolution Frequency' expressed in the conversation
Activator: Turning thoughts into action,Activator: Turning thoughts into action,General,1,5,Measures the degree of 'Activator: Turning thoughts into action' expressed in the conversation
967. Gnostic spiritual metric: Archon meditation frequency,Gnostic spiritual metric: Archon meditation frequency,Spiritual,1,5,Measures the degree of 'Gnostic spiritual metric: Archon meditation frequency' expressed in the conversation
Exemplariness,Exemplariness,General,1,5,Measures the degree of 'Exemplariness' expressed in the conversation
Moral and Ethical Parameters:,Moral and Ethical Parameters:,Moral,1,5,Measures the degree of 'Moral and Ethical Parameters:' expressed in the conversation
Submission:,Submission:,General,1,5,Measures the degree of 'Submission:' expressed in the conversation
Frankness,Frankness,General,1,5,Measures the degree of 'Frankness' expressed in the conversation
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,Cognitive,1,5,Measures the degree of 'Psychological construct: Psychological Safety climate' expressed in the conversation
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,Cognitive,1,5,Measures the degree of 'Psychological construct: Self-Compassion total' expressed in the conversation
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,Cognitive,1,5,Measures the degree of 'Psychological construct: Executive-Function composite' expressed in the conversation
Rebelliousness,Rebelliousness,General,1,5,Measures the degree of 'Rebelliousness' expressed in the conversation
Volunteer Work,Volunteer Work,General,1,5,Measures the degree of 'Volunteer Work' expressed in the conversation
Intellect,Intellect,Cognitive,1,5,Measures the degree of 'Intellect' expressed in the conversation
Use of Mathematical Formulas,Use of Mathematical Formulas,General,1,5,Measures the degree of 'Use of Mathematical Formulas' expressed in the conversation
Coarseness,Coarseness,General,1,5,Measures the degree of 'Coarseness' expressed in the conversation
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents:,General,1,5,Measures the degree of 'Behavioral Tendencies and Subcomponents:' expressed in the conversation
Sensitivity,Sensitivity,General,1,5,Measures the degree of 'Sensitivity' expressed in the conversation
Divided Attention Ability,Divided Attention Ability,General,1,5,Measures the degree of 'Divided Attention Ability' expressed in the conversation
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,Emotional,1,5,Measures the degree of 'Psychological construct: Acculturative Stress score' expressed in the conversation
Dauntlessness,Dauntlessness,General,1,5,Measures the degree of 'Dauntlessness' expressed in the conversation
Concreteness,Concreteness,General,1,5,Measures the degree of 'Concreteness' expressed in the conversation
Hysteria (Hy),Hysteria (Hy),General,1,5,Measures the degree of 'Hysteria (Hy)' expressed in the conversation
911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish spiritual metric: Sukkot lulav-shaking days,Spiritual,1,5,Measures the degree of 'Jewish spiritual metric: Sukkot lulav-shaking days' expressed in the conversation
Sentence Structure,Sentence Structure,General,1,5,Measures the degree of 'Sentence Structure' expressed in the conversation
Esteem Needs,Esteem Needs,General,1,5,Measures the degree of 'Esteem Needs' expressed in the conversation
Understanding mechanical concepts,Understanding mechanical concepts,General,1,5,Measures the degree of 'Understanding mechanical concepts' expressed in the conversation
