Facets,Facets_Clean,Category,Score_Min,Score_Max,Description
Auditory Memory Recall,Auditory Memory Recall,General,1,5,Measures the degree of 'Auditory Memory Recall' expressed in the conversation
Storytelling proficiency,Storytelling proficiency,General,1,5,Measures the degree of 'Storytelling proficiency' expressed in the conversation
Music-lessons years,Music-lessons years,General,1,5,Measures the degree of 'Music-lessons years' expressed in the conversation
Warmheartedness,Warmheartedness,General,1,5,Measures the degree of 'Warmheartedness' expressed in the conversation
Self-effacement,Self-effacement,General,1,5,Measures the degree of 'Self-effacement' expressed in the conversation
Outspokenness,Outspokenness,General,1,5,Measures the degree of 'Outspokenness' expressed in the conversation
Sleep-environment temperature,Sleep-environment temperature,Lifestyle,1,5,Measures the degree of 'Sleep-environment temperature' expressed in the conversation
Comprehension of spoken information,Comprehension of spoken information,General,1,5,Measures the degree of 'Comprehension of spoken information' expressed in the conversation
Blissfulness,Blissfulness,General,1,5,Measures the degree of 'Blissfulness' expressed in the conversation
Sequential Memory Recall,Sequential Memory Recall,General,1,5,Measures the degree of 'Sequential Memory Recall' expressed in the conversation
Withdrawnness,Withdrawnness,General,1,5,Measures the degree of 'Withdrawnness' expressed in the conversation
892. Hindu spiritual metric: Yoga discipline hours / week,Hindu spiritual metric: Yoga discipline hours / week,Spiritual,1,5,Measures the degree of 'Hindu spiritual metric: Yoga discipline hours / week' expressed in the conversation
Conservatism,Conservatism,General,1,5,Measures the degree of 'Conservatism' expressed in the conversation
Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents:,General,1,5,Measures the degree of 'Adaptability and Flexibility Subcomponents:' expressed in the conversation
898. Hindu spiritual metric: Vrata vows observed / year,Hindu spiritual metric: Vrata vows observed / year,Spiritual,1,5,Measures the degree of 'Hindu spiritual metric: Vrata vows observed / year' expressed in the conversation
Ardency,Ardency,General,1,5,Measures the degree of 'Ardency' expressed in the conversation
Aesthetic Appreciation,Aesthetic Appreciation,General,1,5,Measures the degree of 'Aesthetic Appreciation' expressed in the conversation
Transactional Leadership:,Transactional Leadership:,Leadership,1,5,Measures the degree of 'Transactional Leadership:' expressed in the conversation
Value orientation: Universalism,Value orientation: Universalism,General,1,5,Measures the degree of 'Value orientation: Universalism' expressed in the conversation
Perseverance,Perseverance,General,1,5,Measures the degree of 'Perseverance' expressed in the conversation
Regularity of Self-Reflection,Regularity of Self-Reflection,General,1,5,Measures the degree of 'Regularity of Self-Reflection' expressed in the conversation
Controlling Reactions,Controlling Reactions,General,1,5,Measures the degree of 'Controlling Reactions' expressed in the conversation
Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral,Cognitive,1,5,Measures the degree of 'Psychological construct: Cultural Intelligence – Behavioral' expressed in the conversation
Metabolic Rate (Low or High),Metabolic Rate (Low or High),General,1,5,Measures the degree of 'Metabolic Rate (Low or High)' expressed in the conversation
Dietary Habits,Dietary Habits,Lifestyle,1,5,Measures the degree of 'Dietary Habits' expressed in the conversation
Significance: Desire to make an impact,Significance: Desire to make an impact,General,1,5,Measures the degree of 'Significance: Desire to make an impact' expressed in the conversation
Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score,Cognitive,1,5,Measures the degree of 'Psychological construct: Resilience-Trait score' expressed in the conversation
Boredom Susceptibility,Boredom Susceptibility,General,1,5,Measures the degree of 'Boredom Susceptibility' expressed in the conversation
Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale,Cognitive,1,5,Measures the degree of 'Psychological construct: Consummatory Pleasure scale' expressed in the conversation
Leadership Styles and Behaviors:,Leadership Styles and Behaviors:,Leadership,1,5,Measures the degree of 'Leadership Styles and Behaviors:' expressed in the conversation
723. I Ching hexagram 5 resonance level,I Ching hexagram 5 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 5 resonance level' expressed in the conversation
Macronutrient ratio: carbs,Macronutrient ratio: carbs,General,1,5,Measures the degree of 'Macronutrient ratio: carbs' expressed in the conversation
Passport-stamps count,Passport-stamps count,General,1,5,Measures the degree of 'Passport-stamps count' expressed in the conversation
Local-food sourcing %,Local-food sourcing %,Lifestyle,1,5,Measures the degree of 'Local-food sourcing %' expressed in the conversation
Patient care orientation,Patient care orientation,General,1,5,Measures the degree of 'Patient care orientation' expressed in the conversation
Soft-skill training hours,Soft-skill training hours,General,1,5,Measures the degree of 'Soft-skill training hours' expressed in the conversation
Graffiti appreciation,Graffiti appreciation,General,1,5,Measures the degree of 'Graffiti appreciation' expressed in the conversation
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,General,1,5,Measures the degree of 'Preference for Home-Cooked vs Restaurant Meals' expressed in the conversation
Immune-response age,Immune-response age,General,1,5,Measures the degree of 'Immune-response age' expressed in the conversation
Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,Cognitive,1,5,Measures the degree of 'Social-cognition variable: Cognitive Empathy' expressed in the conversation
Kink-interest diversity,Kink-interest diversity,General,1,5,Measures the degree of 'Kink-interest diversity' expressed in the conversation
Adaptability and Flexibility:,Adaptability and Flexibility:,General,1,5,Measures the degree of 'Adaptability and Flexibility:' expressed in the conversation
Judging Consequences,Judging Consequences,General,1,5,Measures the degree of 'Judging Consequences' expressed in the conversation
Harmfulness,Harmfulness,General,1,5,Measures the degree of 'Harmfulness' expressed in the conversation
Affinity,Affinity,General,1,5,Measures the degree of 'Affinity' expressed in the conversation
Abasement,Abasement,General,1,5,Measures the degree of 'Abasement' expressed in the conversation
Chronic pain presence,Chronic pain presence,General,1,5,Measures the degree of 'Chronic pain presence' expressed in the conversation
520. Discernment practice hours / week,Discernment practice hours / week,General,1,5,Measures the degree of 'Discernment practice hours / week' expressed in the conversation
Initiative,Initiative,General,1,5,Measures the degree of 'Initiative' expressed in the conversation
Courageousness,Courageousness,General,1,5,Measures the degree of 'Courageousness' expressed in the conversation
Joyfulness,Joyfulness,Emotional,1,5,Measures the degree of 'Joyfulness' expressed in the conversation
Suspicion,Suspicion,General,1,5,Measures the degree of 'Suspicion' expressed in the conversation
Basophil count,Basophil count,General,1,5,Measures the degree of 'Basophil count' expressed in the conversation
Attachment avoidance score,Attachment avoidance score,General,1,5,Measures the degree of 'Attachment avoidance score' expressed in the conversation
Time Orientation End Points:,Time Orientation End Points:,General,1,5,Measures the degree of 'Time Orientation End Points:' expressed in the conversation
Brazenness,Brazenness,General,1,5,Measures the degree of 'Brazenness' expressed in the conversation
Talkativeness,Talkativeness,General,1,5,Measures the degree of 'Talkativeness' expressed in the conversation
Equitableness,Equitableness,General,1,5,Measures the degree of 'Equitableness' expressed in the conversation
Ideas generated/day,Ideas generated/day,General,1,5,Measures the degree of 'Ideas generated/day' expressed in the conversation
Originality,Originality,General,1,5,Measures the degree of 'Originality' expressed in the conversation
Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,Emotional,1,5,Measures the degree of 'Fearfulness: Fear of physical dangers' expressed in the conversation
Dance rehearsal hours/week,Dance rehearsal hours/week,General,1,5,Measures the degree of 'Dance rehearsal hours/week' expressed in the conversation
561. Practice frequency: Mantra meditation,Practice frequency: Mantra meditation,Spiritual,1,5,Measures the degree of 'Practice frequency: Mantra meditation' expressed in the conversation
Public-transport km/week,Public-transport km/week,General,1,5,Measures the degree of 'Public-transport km/week' expressed in the conversation
Social Desirability Bias,Social Desirability Bias,Social,1,5,Measures the degree of 'Social Desirability Bias' expressed in the conversation
761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 43 resonance level' expressed in the conversation
Disagreeableness,Disagreeableness,General,1,5,Measures the degree of 'Disagreeableness' expressed in the conversation
Participation in Community Activities,Participation in Community Activities,General,1,5,Measures the degree of 'Participation in Community Activities' expressed in the conversation
Impudence,Impudence,General,1,5,Measures the degree of 'Impudence' expressed in the conversation
Analogies,Analogies,General,1,5,Measures the degree of 'Analogies' expressed in the conversation
Clumsiness,Clumsiness,General,1,5,Measures the degree of 'Clumsiness' expressed in the conversation
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,General,1,5,Measures the degree of 'Tendency Toward Compromise or Confrontation' expressed in the conversation
737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 19 resonance level' expressed in the conversation
Robotics-interaction frequency,Robotics-interaction frequency,General,1,5,Measures the degree of 'Robotics-interaction frequency' expressed in the conversation
Casual lifestyle,Casual lifestyle,General,1,5,Measures the degree of 'Casual lifestyle' expressed in the conversation
Collectedness,Collectedness,General,1,5,Measures the degree of 'Collectedness' expressed in the conversation
Reliance on context,Reliance on context,General,1,5,Measures the degree of 'Reliance on context' expressed in the conversation
Delegation skills,Delegation skills,General,1,5,Measures the degree of 'Delegation skills' expressed in the conversation
767. I Ching hexagram 49 resonance level,I Ching hexagram 49 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 49 resonance level' expressed in the conversation
Managing emotions,Managing emotions,Emotional,1,5,Measures the degree of 'Managing emotions' expressed in the conversation
Scripture memorization verses,Scripture memorization verses,General,1,5,Measures the degree of 'Scripture memorization verses' expressed in the conversation
Conventional,Conventional,General,1,5,Measures the degree of 'Conventional' expressed in the conversation
890. Hindu spiritual metric: Bhagavad-Gita study hours,Hindu spiritual metric: Bhagavad-Gita study hours,Spiritual,1,5,Measures the degree of 'Hindu spiritual metric: Bhagavad-Gita study hours' expressed in the conversation
Open-source contributions,Open-source contributions,General,1,5,Measures the degree of 'Open-source contributions' expressed in the conversation
Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency,Cognitive,1,5,Measures the degree of 'Psychological construct: Social Conformity tendency' expressed in the conversation
Individuality,Individuality,General,1,5,Measures the degree of 'Individuality' expressed in the conversation
740. I Ching hexagram 22 resonance level,I Ching hexagram 22 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 22 resonance level' expressed in the conversation
Attachment style: Secure,Attachment style: Secure,General,1,5,Measures the degree of 'Attachment style: Secure' expressed in the conversation
Intelligence Quotient (IQ),Intelligence Quotient (IQ),General,1,5,Measures the degree of 'Intelligence Quotient (IQ)' expressed in the conversation
Blog-subscriber count,Blog-subscriber count,General,1,5,Measures the degree of 'Blog-subscriber count' expressed in the conversation
Non-Verbal Communication Skills,Non-Verbal Communication Skills,General,1,5,Measures the degree of 'Non-Verbal Communication Skills' expressed in the conversation
Drug-use history,Drug-use history,General,1,5,Measures the degree of 'Drug-use history' expressed in the conversation
Commute time/day,Commute time/day,General,1,5,Measures the degree of 'Commute time/day' expressed in the conversation
Decision-making speed,Decision-making speed,General,1,5,Measures the degree of 'Decision-making speed' expressed in the conversation
Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency,Cognitive,1,5,Measures the degree of 'Psychological construct: Excuse-Making tendency' expressed in the conversation
Peer-to-peer lending usage,Peer-to-peer lending usage,General,1,5,Measures the degree of 'Peer-to-peer lending usage' expressed in the conversation
Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score,Cognitive,1,5,Measures the degree of 'Psychological construct: Eye-Contact avoidance score' expressed in the conversation
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy,Social,1,5,Measures the degree of 'Social-cognition variable: Faux Pas Recognition accuracy' expressed in the conversation
Conscientiousness (C):,Conscientiousness (C):,General,1,5,Measures the degree of 'Conscientiousness (C):' expressed in the conversation
Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,Emotional,1,5,Measures the degree of 'Use of Nature as a Stress Reliever' expressed in the conversation
Attitude toward learning,Attitude toward learning,General,1,5,Measures the degree of 'Attitude toward learning' expressed in the conversation
Conscientiousness Facets:,Conscientiousness Facets:,General,1,5,Measures the degree of 'Conscientiousness Facets:' expressed in the conversation
Honesty-humility trait score,Honesty-humility trait score,Moral,1,5,Measures the degree of 'Honesty-humility trait score' expressed in the conversation
Digital-nomad months,Digital-nomad months,General,1,5,Measures the degree of 'Digital-nomad months' expressed in the conversation
516. Religious coping – Negative,Religious coping – Negative,Spiritual,1,5,Measures the degree of 'Religious coping – Negative' expressed in the conversation
Snacking Behavior,Snacking Behavior,General,1,5,Measures the degree of 'Snacking Behavior' expressed in the conversation
Aura-color perception,Aura-color perception,General,1,5,Measures the degree of 'Aura-color perception' expressed in the conversation
638. Sacred text engagement: Zohar (Kabbalah) study hours,Sacred text engagement: Zohar (Kabbalah) study hours,Spiritual,1,5,Measures the degree of 'Sacred text engagement: Zohar (Kabbalah) study hours' expressed in the conversation
Motivational Drivers:,Motivational Drivers:,General,1,5,Measures the degree of 'Motivational Drivers:' expressed in the conversation
Cloud-backup frequency,Cloud-backup frequency,General,1,5,Measures the degree of 'Cloud-backup frequency' expressed in the conversation
Learning Style,Learning Style,General,1,5,Measures the degree of 'Learning Style' expressed in the conversation
872. Islamic practice: Seerah study hours,Islamic practice: Seerah study hours,Spiritual,1,5,Measures the degree of 'Islamic practice: Seerah study hours' expressed in the conversation
Safety compliance,Safety compliance,General,1,5,Measures the degree of 'Safety compliance' expressed in the conversation
Sensationalism,Sensationalism,General,1,5,Measures the degree of 'Sensationalism' expressed in the conversation
Nationality,Nationality,General,1,5,Measures the degree of 'Nationality' expressed in the conversation
Drollness,Drollness,General,1,5,Measures the degree of 'Drollness' expressed in the conversation
Cooperation,Cooperation,General,1,5,Measures the degree of 'Cooperation' expressed in the conversation
Breakfast-skipping frequency,Breakfast-skipping frequency,General,1,5,Measures the degree of 'Breakfast-skipping frequency' expressed in the conversation
922. Sikh spiritual metric: Kirtan participation frequency,Sikh spiritual metric: Kirtan participation frequency,Spiritual,1,5,Measures the degree of 'Sikh spiritual metric: Kirtan participation frequency' expressed in the conversation
Impulsivity,Impulsivity,Risk,1,5,Measures the degree of 'Impulsivity' expressed in the conversation
Museum visits/year,Museum visits/year,General,1,5,Measures the degree of 'Museum visits/year' expressed in the conversation
Choir participation years,Choir participation years,General,1,5,Measures the degree of 'Choir participation years' expressed in the conversation
Delegation Ability,Delegation Ability,General,1,5,Measures the degree of 'Delegation Ability' expressed in the conversation
788. Kabbalah sephira balance: Tiferet,Kabbalah sephira balance: Tiferet,Spiritual,1,5,Measures the degree of 'Kabbalah sephira balance: Tiferet' expressed in the conversation
Desire to influence others,Desire to influence others,General,1,5,Measures the degree of 'Desire to influence others' expressed in the conversation
Vivacity,Vivacity,General,1,5,Measures the degree of 'Vivacity' expressed in the conversation
Genialness,Genialness,General,1,5,Measures the degree of 'Genialness' expressed in the conversation
Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index,Cognitive,1,5,Measures the degree of 'Cognitive measure: Working Memory Index' expressed in the conversation
Ethical practices,Ethical practices,Moral,1,5,Measures the degree of 'Ethical practices' expressed in the conversation
945. New-Age spiritual metric: Channeling sessions / year,New-Age spiritual metric: Channeling sessions / year,Spiritual,1,5,Measures the degree of 'New-Age spiritual metric: Channeling sessions / year' expressed in the conversation
Civility,Civility,General,1,5,Measures the degree of 'Civility' expressed in the conversation
Sleep Apnea,Sleep Apnea,Lifestyle,1,5,Measures the degree of 'Sleep Apnea' expressed in the conversation
Classiness,Classiness,General,1,5,Measures the degree of 'Classiness' expressed in the conversation
Control over situations,Control over situations,General,1,5,Measures the degree of 'Control over situations' expressed in the conversation
Time outdoors/day (h),Time outdoors/day (h),General,1,5,Measures the degree of 'Time outdoors/day (h)' expressed in the conversation
Effeteness,Effeteness,General,1,5,Measures the degree of 'Effeteness' expressed in the conversation
Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease,Risk,1,5,Measures the degree of 'Polygenic risk: cardiovascular disease' expressed in the conversation
Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level,Cognitive,1,5,Measures the degree of 'Psychological construct: Identity Diffusion level' expressed in the conversation
Learning through movement,Learning through movement,General,1,5,Measures the degree of 'Learning through movement' expressed in the conversation
Caffeine sensitivity gene,Caffeine sensitivity gene,General,1,5,Measures the degree of 'Caffeine sensitivity gene' expressed in the conversation
Hatefulness,Hatefulness,General,1,5,Measures the degree of 'Hatefulness' expressed in the conversation
Persistence:,Persistence:,General,1,5,Measures the degree of 'Persistence:' expressed in the conversation
Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings,Cognitive,1,5,Measures the degree of 'Psychological construct: Perfectionistic Strivings' expressed in the conversation
Wake-time consistency,Wake-time consistency,General,1,5,Measures the degree of 'Wake-time consistency' expressed in the conversation
Numerical Reasoning:,Numerical Reasoning:,Cognitive,1,5,Measures the degree of 'Numerical Reasoning:' expressed in the conversation
Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation,Social,1,5,Measures the degree of 'Social-cognition variable: Mentalizing network activation' expressed in the conversation
Patriotism,Patriotism,General,1,5,Measures the degree of 'Patriotism' expressed in the conversation
Leadership Styles:,Leadership Styles:,Leadership,1,5,Measures the degree of 'Leadership Styles:' expressed in the conversation
Servility,Servility,General,1,5,Measures the degree of 'Servility' expressed in the conversation
742. I Ching hexagram 24 resonance level,I Ching hexagram 24 resonance level,General,1,5,Measures the degree of 'I Ching hexagram 24 resonance level' expressed in the conversation
Enneagram Personality Types:,Enneagram Personality Types:,General,1,5,Measures the degree of 'Enneagram Personality Types:' expressed in the conversation
Stress Recovery Ability,Stress Recovery Ability,Emotional,1,5,Measures the degree of 'Stress Recovery Ability' expressed in the conversation
Troubleshooting technical issues,Troubleshooting technical issues,General,1,5,Measures the degree of 'Troubleshooting technical issues' expressed in the conversation
Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection,General,1,5,Measures the degree of 'Defense-mechanism tendency: Introjection' expressed in the conversation
Irritability,Irritability,General,1,5,Measures the degree of 'Irritability' expressed in the conversation
Travel-companions diversity,Travel-companions diversity,General,1,5,Measures the degree of 'Travel-companions diversity' expressed in the conversation
627. Sacred text engagement: Quran surahs memorized,Sacred text engagement: Quran surahs memorized,General,1,5,Measures the degree of 'Sacred text engagement: Quran surahs memorized' expressed in the conversation
Trust in others,Trust in others,Social,1,5,Measures the degree of 'Trust in others' expressed in the conversation
Gamified-finance-app usage,Gamified-finance-app usage,General,1,5,Measures the degree of 'Gamified-finance-app usage' expressed in the conversation
823. Buddhist practice: Eightfold Path – Right Intention level,Buddhist practice: Eightfold Path – Right Intention level,General,1,5,Measures the degree of 'Buddhist practice: Eightfold Path – Right Intention level' expressed in the conversation
Caffeine intake (mg/day),Caffeine intake (mg/day),General,1,5,Measures the degree of 'Caffeine intake (mg/day)' expressed in the conversation
Comfort with Vulnerability,Comfort with Vulnerability,General,1,5,Measures the degree of 'Comfort with Vulnerability' expressed in the conversation
Anticipativeness,Anticipativeness,General,1,5,Measures the degree of 'Anticipativeness' expressed in the conversation
Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points:,General,1,5,Measures the degree of 'Additional Common Parameters and Their End Points:' expressed in the conversation
Avoiding:,Avoiding:,General,1,5,Measures the degree of 'Avoiding:' expressed in the conversation
Home-security-system presence,Home-security-system presence,General,1,5,Measures the degree of 'Home-security-system presence' expressed in the conversation
HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility,Moral,1,5,Measures the degree of 'HEXACO domain: Honesty-Humility' expressed in the conversation
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),General,1,5,Measures the degree of 'Eating Habits (Home-Cooked vs. Eating Out)' expressed in the conversation
Decision-Making Confidence,Decision-Making Confidence,General,1,5,Measures the degree of 'Decision-Making Confidence' expressed in the conversation
Alignment with societal roles,Alignment with societal roles,General,1,5,Measures the degree of 'Alignment with societal roles' expressed in the conversation
Connectedness: Belief in interconnections,Connectedness: Belief in interconnections,General,1,5,Measures the degree of 'Connectedness: Belief in interconnections' expressed in the conversation
Quirkiness,Quirkiness,General,1,5,Measures the degree of 'Quirkiness' expressed in the conversation
Creative resilience,Creative resilience,General,1,5,Measures the degree of 'Creative resilience' expressed in the conversation
Rapid cognitive processing,Rapid cognitive processing,Cognitive,1,5,Measures the degree of 'Rapid cognitive processing' expressed in the conversation
Cordiality,Cordiality,General,1,5,Measures the degree of 'Cordiality' expressed in the conversation
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,General,1,5,Measures the degree of 'Types of Mindfulness Techniques Used' expressed in the conversation
Economic reasoning,Economic reasoning,Cognitive,1,5,Measures the degree of 'Economic reasoning' expressed in the conversation
Conformity,Conformity,General,1,5,Measures the degree of 'Conformity' expressed in the conversation
Pet-enrichment activities count,Pet-enrichment activities count,General,1,5,Measures the degree of 'Pet-enrichment activities count' expressed in the conversation
Aestheticism,Aestheticism,General,1,5,Measures the degree of 'Aestheticism' expressed in the conversation
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),Emotional,1,5,Measures the degree of 'Type of Support Preferred (Emotional vs. Practical)' expressed in the conversation
Mental Arithmetic Speed,Mental Arithmetic Speed,General,1,5,Measures the degree of 'Mental Arithmetic Speed' expressed in the conversation
Patience: Resistance to anger,Patience: Resistance to anger,Emotional,1,5,Measures the degree of 'Patience: Resistance to anger' expressed in the conversation
Flawlessness,Flawlessness,General,1,5,Measures the degree of 'Flawlessness' expressed in the conversation
Self-Efficacy,Self-Efficacy,General,1,5,Measures the degree of 'Self-Efficacy' expressed in the conversation
Computer Skills:,Computer Skills:,General,1,5,Measures the degree of 'Computer Skills:' expressed in the conversation
899. Jewish spiritual metric: Shabbat candle-lighting consistency,Jewish spiritual metric: Shabbat candle-lighting consistency,Spiritual,1,5,Measures the degree of 'Jewish spiritual metric: Shabbat candle-lighting consistency' expressed in the conversation
Spelling Accuracy,Spelling Accuracy,General,1,5,Measures the degree of 'Spelling Accuracy' expressed in the conversation
793. Sufi practice: Dhikr repetitions / day,Sufi practice: Dhikr repetitions / day,Spiritual,1,5,Measures the degree of 'Sufi practice: Dhikr repetitions / day' expressed in the conversation
Peacefulness,Peacefulness,General,1,5,Measures the degree of 'Peacefulness' expressed in the conversation
Doggedness,Doggedness,General,1,5,Measures the degree of 'Doggedness' expressed in the conversation
Decency,Decency,Moral,1,5,Measures the degree of 'Decency' expressed in the conversation
Processed-food frequency,Processed-food frequency,Lifestyle,1,5,Measures the degree of 'Processed-food frequency' expressed in the conversation
